category,Malaysia,Vietnam,Total
Regulation,4803,4811,9614
Legislation,3626,3608,7234
Legal case,1199,1330,2529
News,2388,2376,4764
Gov/Corp ESG,3996,3955,7951
Intl ESG,3987,3999,7986
Total,19999,20079,40078
