method,anchor,Recall@1,Recall@5,Recall@10,MRR,nDCG@10,n
B2_flat,0.0,0.0885,0.229,0.3067,0.1494,0.1865,2520
B3_anchored,0.05,0.0968,0.2532,0.3373,0.1641,0.205,2520
B3_anchored,0.1,0.1036,0.2675,0.3552,0.1744,0.217,2520
B3_anchored,0.2,0.1087,0.279,0.371,0.1835,0.2278,2520
